property,domain
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/anbringung,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/ante,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/archivnr,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/bildthema,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/bundesland,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/comments,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/value
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/contains_entity,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/description
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/datierung,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/dianr,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/ensemble,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/ensemblebezeichnung,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/ensemblenr,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/enstehungsort,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/fol,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/form,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/gebaeudekontext,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/has_description,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/has_thesaurus_entry,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/value
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/index,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/institution,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/invnr,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/kuenstler,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/links,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/work
