class,property
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_entry
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus,http://www.w3.org/2000/01/rdf-schema#label
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term,http://www.w3.org/1999/02/22-rdf-syntax-ns#value
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term,http://www.w3.org/2000/01/rdf-schema#label
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term,http://www.w3.org/2004/02/skos/core#broader
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term,http://www.w3.org/2004/02/skos/core#narrower
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://proton.semanticweb.org/protonsys#transitiveOver
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#comment
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#domain
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#label
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#range
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2000/01/rdf-schema#comment
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2000/01/rdf-schema#label
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2000/01/rdf-schema#range
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://www.w3.org/2000/01/rdf-schema#Class,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://www.w3.org/2002/07/owl#SymmetricProperty,http://proton.semanticweb.org/protonsys#transitiveOver
http://www.w3.org/2002/07/owl#SymmetricProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2002/07/owl#SymmetricProperty,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2002/07/owl#SymmetricProperty,http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/2002/07/owl#TransitiveProperty,http://proton.semanticweb.org/protonsys#transitiveOver
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2000/01/rdf-schema#domain
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2000/01/rdf-schema#range
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/2004/02/skos/core#Concept,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_entry
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#value
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#label
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#narrower
