property,domain
ro_ont:anbringung,ro_ont:work
ro_ont:ante,ro_ont:work
ro_ont:archivnr,ro_ont:work
ro_ont:bildthema,ro_ont:work
ro_ont:bundesland,ro_ont:work
ro_ont:comments,ro_ont:value
ro_ont:contains_entity,ro_ont:description
ro_ont:datierung,ro_ont:work
ro_ont:dianr,ro_ont:work
ro_ont:ensemble,ro_ont:work
ro_ont:ensemblebezeichnung,ro_ont:work
ro_ont:ensemblenr,ro_ont:work
ro_ont:enstehungsort,ro_ont:work
ro_ont:fol,ro_ont:work
ro_ont:form,ro_ont:work
ro_ont:gebaeudekontext,ro_ont:work
ro_ont:has_description,ro_ont:work
ro_ont:has_thesaurus_entry,ro_ont:value
ro_ont:index,ro_ont:work
ro_ont:institution,ro_ont:work
ro_ont:invnr,ro_ont:work
ro_ont:kuenstler,ro_ont:work
ro_ont:links,ro_ont:work
ro_ont:literatur,ro_ont:work
ro_ont:masze,ro_ont:work
ro_ont:material,ro_ont:work
ro_ont:motivtypus,ro_ont:work
ro_ont:objektart,ro_ont:work
ro_ont:post,ro_ont:work
ro_ont:provenienz,ro_ont:work
ro_ont:quelle,ro_ont:work
ro_ont:relation/handlung_objekt_bezug,ro_ont:entity
ro_ont:relation/handlung_person_bezug,ro_ont:entity
ro_ont:relation/kleidung_kleidung_child,ro_ont:entity
ro_ont:relation/kleidung_kleidung_hat_bezug,ro_ont:entity
ro_ont:relation/kleidung_objekt_bezug,ro_ont:entity
ro_ont:relation/kleidung_objekt_hat_bezug,ro_ont:entity
ro_ont:relation/kleidung_originalzitat_child,ro_ont:entity
ro_ont:relation/koerperteil_koerperteil_child,ro_ont:entity
ro_ont:relation/koerperteil_objekt_bezug,ro_ont:entity
ro_ont:relation/koerperteil_objekt_child,ro_ont:entity
ro_ont:relation/koerperteil_originalzitat_child,ro_ont:entity
ro_ont:relation/objekt_objekt_bezug,ro_ont:entity
ro_ont:relation/objekt_objekt_child,ro_ont:entity
ro_ont:relation/objekt_objekt_hat_bezug,ro_ont:entity
ro_ont:relation/objekt_originalzitat_child,ro_ont:entity
ro_ont:relation/originalzitat_objekt_bezug,ro_ont:entity
ro_ont:relation/person_kleidung_child,ro_ont:entity
ro_ont:relation/person_koerperteil_child,ro_ont:entity
ro_ont:relation/person_objekt_attribut,ro_ont:entity
ro_ont:relation/person_objekt_bezug,ro_ont:entity
ro_ont:relation/person_objekt_child,ro_ont:entity
ro_ont:relation/person_objekt_hat_bezug,ro_ont:entity
ro_ont:relation/person_person_bezug,ro_ont:entity
ro_ont:relation/szene_handlung_child,ro_ont:entity
ro_ont:relation/szene_historort_child,ro_ont:entity
ro_ont:relation/szene_objekt_child,ro_ont:entity
ro_ont:relation/szene_originalzitat_child,ro_ont:entity
ro_ont:relation/szene_ort_child,ro_ont:entity
ro_ont:relation/szene_person_child,ro_ont:entity
ro_ont:sakral_profan,ro_ont:work
ro_ont:staat,ro_ont:work
ro_ont:standort,ro_ont:work
ro_ont:technik,ro_ont:work
