Type,URI
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_processing
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_locrelator
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_image
Class,http://www.w3.org/2000/01/rdf-schema#Class
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/value
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/description
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/entity
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_marginalia
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus
Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_text
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_objectbio
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_origin
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_heraldic
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_item
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_person
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_room
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_object
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_material
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_ornament
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/work
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_action
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_quality
Class,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/Entity_time
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_marginalia_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_object_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_quality_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/code
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/has_description
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/authority_file
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_locrelator_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/bildthema
Property,http://www.w3.org/2000/01/rdf-schema#label
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_item_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/dianr
Property,http://www.w3.org/2000/01/rdf-schema#comment
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_person_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/has_thesaurus_entry
Property,http://www.w3.org/2000/01/rdf-schema#Class
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_time_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/index
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_image_child
Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#value
Property,http://www.w3.org/2000/01/rdf-schema#domain
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_material_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_processing_child
Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_ornament_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/archivnr
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_room_child
Property,http://www.w3.org/2000/01/rdf-schema#range
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_objectbio_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_entry
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/prov
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/has_id
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_action_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/text
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_heraldic_child
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/forename
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/contains_entity
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/surname
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/relation/text_origin_child
Property,http://www.w3.org/2000/01/rdf-schema#subClassOf
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/standard_nhg
Property,http://hohensalzburg.imareal.sbg.ac.at/rdf/v1/ontology/normalisation
